,fpr,tpr,threshold,eval,k,train_split,quantile
190,0.13333333333333333,0.3333333333333333,0.9095468,3,2,0.1,0.1
191,0.6666666666666666,0.3333333333333333,0.41399333,3,2,0.1,0.1
192,0.6666666666666666,0.6666666666666666,0.40880737,3,2,0.1,0.1
193,0.8666666666666667,0.6666666666666666,0.058689553,3,2,0.1,0.1
194,0.8666666666666667,1.0,0.042545818,3,2,0.1,0.1
195,1.0,1.0,0.0021937473,3,2,0.1,0.1
196,0.0,0.0,1.9977536,4,2,0.1,0.1
197,0.03333333333333333,0.0,0.99775356,4,2,0.1,0.1
198,0.13333333333333333,0.0,0.95289934,4,2,0.1,0.1
199,0.13333333333333333,0.3333333333333333,0.87323207,4,2,0.1,0.1
200,0.6333333333333333,0.3333333333333333,0.39079466,4,2,0.1,0.1
201,0.6333333333333333,0.6666666666666666,0.373873,4,2,0.1,0.1
202,0.8666666666666667,0.6666666666666666,0.10674388,4,2,0.1,0.1
203,0.8666666666666667,1.0,0.081300095,4,2,0.1,0.1
204,1.0,1.0,0.006527028,4,2,0.1,0.1
205,0.0,0.0,1.9994036,5,2,0.1,0.1
206,0.03333333333333333,0.0,0.9994036,5,2,0.1,0.1
207,0.13333333333333333,0.0,0.9661432,5,2,0.1,0.1
208,0.13333333333333333,0.3333333333333333,0.873885,5,2,0.1,0.1
209,0.5666666666666667,0.3333333333333333,0.41025352,5,2,0.1,0.1
210,0.5666666666666667,0.6666666666666666,0.40083656,5,2,0.1,0.1
211,0.9,0.6666666666666666,0.04436507,5,2,0.1,0.1
212,0.9,1.0,0.031523336,5,2,0.1,0.1
213,1.0,1.0,0.0017841978,5,2,0.1,0.1
214,0.0,0.0,1.9993546,1,2,0.1,0.25
215,0.04,0.0,0.99935466,1,2,0.1,0.25
216,0.04,0.125,0.9993026,1,2,0.1,0.25
217,0.12,0.125,0.9933693,1,2,0.1,0.25
218,0.12,0.25,0.99086225,1,2,0.1,0.25
219,0.24,0.25,0.9858484,1,2,0.1,0.25
220,0.24,0.375,0.9790229,1,2,0.1,0.25
221,0.28,0.375,0.9754157,1,2,0.1,0.25
222,0.28,0.625,0.9690578,1,2,0.1,0.25
223,0.4,0.625,0.95245475,1,2,0.1,0.25
224,0.4,0.75,0.9486326,1,2,0.1,0.25
225,0.52,0.75,0.89430636,1,2,0.1,0.25
226,0.52,0.875,0.89111525,1,2,0.1,0.25
227,0.68,0.875,0.71389425,1,2,0.1,0.25
228,0.68,1.0,0.61487997,1,2,0.1,0.25
229,1.0,1.0,0.0015529083,1,2,0.1,0.25
230,0.0,0.0,1.9990046,2,2,0.1,0.25
231,0.04,0.0,0.99900454,2,2,0.1,0.25
232,0.04,0.125,0.9987079,2,2,0.1,0.25
233,0.16,0.125,0.9868066,2,2,0.1,0.25
234,0.16,0.25,0.98259187,2,2,0.1,0.25
235,0.24,0.25,0.9764366,2,2,0.1,0.25
236,0.24,0.5,0.9597738,2,2,0.1,0.25
237,0.4,0.5,0.94856596,2,2,0.1,0.25
238,0.4,0.625,0.93617874,2,2,0.1,0.25
239,0.44,0.625,0.93204683,2,2,0.1,0.25
240,0.44,0.75,0.9228871,2,2,0.1,0.25
241,0.48,0.75,0.919954,2,2,0.1,0.25
242,0.48,0.875,0.8448348,2,2,0.1,0.25
243,0.68,0.875,0.60732883,2,2,0.1,0.25
244,0.68,1.0,0.59784776,2,2,0.1,0.25
245,1.0,1.0,0.0029335916,2,2,0.1,0.25
246,0.0,0.0,1.9991665,3,2,0.1,0.25
247,0.04,0.0,0.9991665,3,2,0.1,0.25
248,0.04,0.125,0.9991165,3,2,0.1,0.25
249,0.12,0.125,0.99251455,3,2,0.1,0.25
250,0.12,0.25,0.98839974,3,2,0.1,0.25
251,0.28,0.25,0.9820696,3,2,0.1,0.25
252,0.28,0.5,0.9796872,3,2,0.1,0.25
253,0.4,0.5,0.969649,3,2,0.1,0.25
254,0.4,0.625,0.9667566,3,2,0.1,0.25
255,0.44,0.625,0.9663489,3,2,0.1,0.25
256,0.44,0.75,0.9368067,3,2,0.1,0.25
257,0.56,0.75,0.86083996,3,2,0.1,0.25
258,0.56,0.875,0.86047024,3,2,0.1,0.25
259,0.68,0.875,0.7497145,3,2,0.1,0.25
260,0.68,1.0,0.666632,3,2,0.1,0.25
261,1.0,1.0,0.0013620615,3,2,0.1,0.25
262,0.0,0.0,1.9994693,4,2,0.1,0.25
263,0.04,0.0,0.99946934,4,2,0.1,0.25
264,0.08,0.0,0.9993923,4,2,0.1,0.25
265,0.08,0.125,0.99933726,4,2,0.1,0.25
266,0.2,0.125,0.99247265,4,2,0.1,0.25
267,0.2,0.25,0.98988616,4,2,0.1,0.25
268,0.24,0.25,0.98404837,4,2,0.1,0.25
269,0.24,0.375,0.9755705,4,2,0.1,0.25
270,0.28,0.375,0.9733757,4,2,0.1,0.25
271,0.28,0.5,0.9654438,4,2,0.1,0.25
272,0.4,0.5,0.9542602,4,2,0.1,0.25
273,0.4,0.75,0.9479326,4,2,0.1,0.25
274,0.48,0.75,0.9404419,4,2,0.1,0.25
