,eval,k,train_split,quantile,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
14,5,1,0.1,0.25,0.6875,0.44,0.5365853658536586,25,0.17647058823529413,0.375,0.24,8,0.4319852941176471,0.4075,0.3882926829268293,33,0.5636140819964349,0.42424242424242425,0.4646858832224686,33,0.42424242424242425
15,1,2,0.1,0.05,1.0,0.0625,0.11764705882352941,32,0.03225806451612903,1.0,0.0625,1,0.5161290322580645,0.53125,0.0900735294117647,33,0.9706744868035191,0.09090909090909091,0.115975935828877,33,0.09090909090909091
16,2,2,0.1,0.05,1.0,0.09375,0.17142857142857143,32,0.03333333333333333,1.0,0.06451612903225806,1,0.5166666666666667,0.546875,0.11797235023041475,33,0.9707070707070706,0.12121212121212122,0.16818880044686496,33,0.12121212121212122
17,3,2,0.1,0.05,1.0,0.09375,0.17142857142857143,32,0.03333333333333333,1.0,0.06451612903225806,1,0.5166666666666667,0.546875,0.11797235023041475,33,0.9707070707070706,0.12121212121212122,0.16818880044686496,33,0.12121212121212122
18,4,2,0.1,0.05,1.0,0.0625,0.11764705882352941,32,0.03225806451612903,1.0,0.0625,1,0.5161290322580645,0.53125,0.0900735294117647,33,0.9706744868035191,0.09090909090909091,0.115975935828877,33,0.09090909090909091
19,5,2,0.1,0.05,1.0,0.09375,0.17142857142857143,32,0.03333333333333333,1.0,0.06451612903225806,1,0.5166666666666667,0.546875,0.11797235023041475,33,0.9707070707070706,0.12121212121212122,0.16818880044686496,33,0.12121212121212122
20,1,2,0.1,0.1,0.875,0.4666666666666667,0.608695652173913,30,0.058823529411764705,0.3333333333333333,0.1,3,0.46691176470588236,0.4,0.3543478260869565,33,0.8008021390374331,0.45454545454545453,0.5624505928853755,33,0.45454545454545453
21,2,2,0.1,0.1,0.8461538461538461,0.36666666666666664,0.5116279069767441,30,0.05,0.3333333333333333,0.08695652173913045,3,0.4480769230769231,0.35,0.2992922143579373,33,0.7737762237762237,0.36363636363636365,0.4730214174096883,33,0.36363636363636365
22,3,2,0.1,0.1,0.8666666666666667,0.43333333333333335,0.5777777777777778,30,0.05555555555555555,0.3333333333333333,0.09523809523809525,3,0.46111111111111114,0.3833333333333333,0.33650793650793653,33,0.7929292929292929,0.42424242424242425,0.533910533910534,33,0.42424242424242425
23,4,2,0.1,0.1,0.875,0.4666666666666667,0.608695652173913,30,0.058823529411764705,0.3333333333333333,0.1,3,0.46691176470588236,0.4,0.3543478260869565,33,0.8008021390374331,0.45454545454545453,0.5624505928853755,33,0.45454545454545453
24,5,2,0.1,0.1,0.9130434782608695,0.7,0.7924528301886793,30,0.1,0.3333333333333333,0.15384615384615383,3,0.5065217391304347,0.5166666666666666,0.4731494920174166,33,0.8391304347826087,0.6666666666666666,0.7343976777939042,33,0.6666666666666666
25,1,2,0.1,0.25,1.0,0.32,0.48484848484848486,25,0.32,1.0,0.48484848484848486,8,0.66,0.66,0.48484848484848486,33,0.8351515151515151,0.48484848484848486,0.48484848484848486,33,0.48484848484848486
26,2,2,0.1,0.25,1.0,0.32,0.48484848484848486,25,0.32,1.0,0.48484848484848486,8,0.66,0.66,0.48484848484848486,33,0.8351515151515151,0.48484848484848486,0.48484848484848486,33,0.48484848484848486
27,3,2,0.1,0.25,1.0,0.28,0.43750000000000006,25,0.3076923076923077,1.0,0.47058823529411764,8,0.6538461538461539,0.64,0.4540441176470589,33,0.8321678321678321,0.45454545454545453,0.4455213903743316,33,0.45454545454545453
28,4,2,0.1,0.25,1.0,0.32,0.48484848484848486,25,0.32,1.0,0.48484848484848486,8,0.66,0.66,0.48484848484848486,33,0.8351515151515151,0.48484848484848486,0.48484848484848486,33,0.48484848484848486
29,5,2,0.1,0.25,1.0,0.28,0.43750000000000006,25,0.3076923076923077,1.0,0.47058823529411764,8,0.6538461538461539,0.64,0.4540441176470589,33,0.8321678321678321,0.45454545454545453,0.4455213903743316,33,0.45454545454545453
30,1,3,0.1,0.05,1.0,0.375,0.5454545454545454,32,0.047619047619047616,1.0,0.0909090909090909,1,0.5238095238095238,0.6875,0.3181818181818182,33,0.9711399711399712,0.3939393939393939,0.5316804407713498,33,0.3939393939393939
31,2,3,0.1,0.05,1.0,0.40625,0.5777777777777777,32,0.05,1.0,0.09523809523809523,1,0.525,0.703125,0.3365079365079365,33,0.9712121212121211,0.42424242424242425,0.5631553631553631,33,0.42424242424242425
32,3,3,0.1,0.05,1.0,0.4375,0.6086956521739131,32,0.05263157894736842,1.0,0.1,1,0.5263157894736842,0.71875,0.35434782608695653,33,0.9712918660287082,0.45454545454545453,0.5932806324110673,33,0.45454545454545453
33,4,3,0.1,0.05,1.0,0.375,0.5454545454545454,32,0.047619047619047616,1.0,0.0909090909090909,1,0.5238095238095238,0.6875,0.3181818181818182,33,0.9711399711399712,0.3939393939393939,0.5316804407713498,33,0.3939393939393939
34,5,3,0.1,0.05,1.0,0.375,0.5454545454545454,32,0.047619047619047616,1.0,0.0909090909090909,1,0.5238095238095238,0.6875,0.3181818181818182,33,0.9711399711399712,0.3939393939393939,0.5316804407713498,33,0.3939393939393939
