,tol_inf,tol_sup,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
658,0.2,0.7,0.2,32,0.9636363636363636,0.8548387096774194,0.905982905982906,62,0.47058823529411764,0.8,0.5925925925925927,10,0.7171122994652406,0.8274193548387097,0.7492877492877493,72,0.8951574569221629,0.8472222222222222,0.8624564735675846,72,0.8472222222222222
659,0.2,0.7,0.2,32,0.9574468085106383,0.7258064516129032,0.8256880733944956,62,0.32,0.8,0.45714285714285713,10,0.6387234042553191,0.7629032258064516,0.6414154652686763,72,0.8689125295508275,0.7361111111111112,0.7745012378039902,72,0.7361111111111112
660,0.2,0.7,0.2,32,0.9393939393939394,0.5,0.6526315789473685,62,0.20512820512820512,0.8,0.326530612244898,10,0.5722610722610723,0.65,0.4895810955961332,72,0.8374125874125875,0.5416666666666666,0.6073397780164699,72,0.5416666666666666
661,0.2,0.7,0.2,32,0.9473684210526315,0.5806451612903226,0.72,62,0.23529411764705882,0.8,0.3636363636363636,10,0.5913312693498451,0.6903225806451614,0.5418181818181818,72,0.848469212246302,0.6111111111111112,0.6705050505050505,72,0.6111111111111112
662,0.2,0.7,0.2,32,0.9016393442622951,0.8870967741935484,0.8943089430894309,62,0.36363636363636365,0.4,0.380952380952381,10,0.6326378539493294,0.6435483870967742,0.6376306620209059,72,0.8269167080642491,0.8194444444444444,0.8230094205703962,72,0.8194444444444444
663,0.2,0.7,0.2,32,0.9787234042553191,0.7419354838709677,0.8440366972477064,62,0.36,0.9,0.5142857142857143,10,0.6693617021276596,0.8209677419354839,0.6791612057667104,72,0.892789598108747,0.7638888888888888,0.7982379496140964,72,0.7638888888888888
664,0.2,0.7,0.2,32,1.0,0.5967741935483871,0.7474747474747475,62,0.2857142857142857,1.0,0.4444444444444445,10,0.6428571428571428,0.7983870967741935,0.595959595959596,72,0.9007936507936508,0.6527777777777778,0.7053872053872055,72,0.6527777777777778
665,0.2,0.7,0.2,32,0.88,0.7096774193548387,0.7857142857142856,62,0.18181818181818182,0.4,0.25000000000000006,10,0.5309090909090909,0.5548387096774194,0.5178571428571428,72,0.7830303030303031,0.6666666666666666,0.7113095238095237,72,0.6666666666666666
666,0.2,0.7,0.2,32,1.0,0.6290322580645161,0.7722772277227723,62,0.30303030303030304,1.0,0.4651162790697675,10,0.6515151515151515,0.814516129032258,0.61869675339627,72,0.9031986531986532,0.6805555555555556,0.7296159848542995,72,0.6805555555555556
667,0.2,0.7,0.2,32,1.0,0.8225806451612904,0.9026548672566371,62,0.47619047619047616,1.0,0.6451612903225806,10,0.7380952380952381,0.9112903225806452,0.7739080787896089,72,0.9272486772486772,0.8472222222222222,0.8668918704602404,72,0.8472222222222222
668,0.2,0.7,0.2,32,0.9259259259259259,0.8064516129032258,0.8620689655172414,62,0.3333333333333333,0.6,0.42857142857142855,10,0.6296296296296297,0.7032258064516128,0.645320197044335,72,0.8436213991769548,0.7777777777777778,0.8018609742747674,72,0.7777777777777778
669,0.2,0.7,0.2,32,0.9583333333333334,0.3709677419354839,0.5348837209302326,62,0.1875,0.9,0.31034482758620696,10,0.5729166666666667,0.635483870967742,0.4226142742582198,72,0.8512731481481483,0.4444444444444444,0.5036977635213402,72,0.4444444444444444
670,0.2,0.7,0.2,32,0.9583333333333334,0.7419354838709677,0.8363636363636364,62,0.3333333333333333,0.8,0.47058823529411764,10,0.6458333333333334,0.7709677419354839,0.6534759358288771,72,0.8715277777777779,0.75,0.7855614973262033,72,0.75
