,eval,k,train_split,quantile,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
15,1,2,0.1,0.05,1.0,0.21875,0.358974358974359,32,0.038461538461538464,1.0,0.07407407407407407,1,0.5192307692307693,0.609375,0.21652421652421652,33,0.9708624708624709,0.24242424242424243,0.35034101700768366,33,0.24242424242424243
16,2,2,0.1,0.05,1.0,0.125,0.2222222222222222,32,0.034482758620689655,1.0,0.06666666666666667,1,0.5172413793103449,0.5625,0.14444444444444443,33,0.9707419017763845,0.15151515151515152,0.21750841750841748,33,0.15151515151515152
17,3,2,0.1,0.05,1.0,0.15625,0.2702702702702703,32,0.03571428571428571,1.0,0.0689655172413793,1,0.5178571428571429,0.578125,0.16961789375582478,33,0.9707792207792207,0.18181818181818182,0.26417012623909175,33,0.18181818181818182
18,4,2,0.1,0.05,1.0,0.21875,0.358974358974359,32,0.038461538461538464,1.0,0.07407407407407407,1,0.5192307692307693,0.609375,0.21652421652421652,33,0.9708624708624709,0.24242424242424243,0.35034101700768366,33,0.24242424242424243
19,5,2,0.1,0.05,1.0,0.125,0.2222222222222222,32,0.034482758620689655,1.0,0.06666666666666667,1,0.5172413793103449,0.5625,0.14444444444444443,33,0.9707419017763845,0.15151515151515152,0.21750841750841748,33,0.15151515151515152
20,1,2,0.1,0.1,1.0,0.4,0.5714285714285715,30,0.14285714285714285,1.0,0.25,3,0.5714285714285714,0.7,0.41071428571428575,33,0.922077922077922,0.45454545454545453,0.5422077922077922,33,0.45454545454545453
21,2,2,0.1,0.1,1.0,0.36666666666666664,0.5365853658536585,30,0.13636363636363635,1.0,0.24000000000000002,3,0.5681818181818181,0.6833333333333333,0.3882926829268292,33,0.9214876033057852,0.42424242424242425,0.5096230598669622,33,0.42424242424242425
22,3,2,0.1,0.1,1.0,0.3333333333333333,0.5,30,0.13043478260869565,1.0,0.23076923076923078,3,0.5652173913043478,0.6666666666666666,0.3653846153846154,33,0.9209486166007905,0.3939393939393939,0.4755244755244755,33,0.3939393939393939
23,4,2,0.1,0.1,1.0,0.2,0.33333333333333337,30,0.1111111111111111,1.0,0.19999999999999998,3,0.5555555555555556,0.6,0.26666666666666666,33,0.9191919191919191,0.2727272727272727,0.3212121212121213,33,0.2727272727272727
24,5,2,0.1,0.1,1.0,0.36666666666666664,0.5365853658536585,30,0.13636363636363635,1.0,0.24000000000000002,3,0.5681818181818181,0.6833333333333333,0.3882926829268292,33,0.9214876033057852,0.42424242424242425,0.5096230598669622,33,0.42424242424242425
25,1,2,0.1,0.25,0.5555555555555556,0.2,0.29411764705882354,25,0.16666666666666666,0.5,0.25,8,0.3611111111111111,0.35,0.2720588235294118,33,0.4612794612794613,0.2727272727272727,0.28342245989304815,33,0.2727272727272727
26,2,2,0.1,0.25,0.6,0.12,0.19999999999999998,25,0.21428571428571427,0.75,0.3333333333333333,8,0.40714285714285714,0.435,0.26666666666666666,33,0.5064935064935066,0.2727272727272727,0.2323232323232323,33,0.2727272727272727
27,3,2,0.1,0.25,0.5,0.12,0.1935483870967742,25,0.18518518518518517,0.625,0.2857142857142857,8,0.34259259259259256,0.3725,0.23963133640552994,33,0.4236812570145903,0.24242424242424243,0.21589163524647395,33,0.24242424242424243
28,4,2,0.1,0.25,0.6,0.12,0.19999999999999998,25,0.21428571428571427,0.75,0.3333333333333333,8,0.40714285714285714,0.435,0.26666666666666666,33,0.5064935064935066,0.2727272727272727,0.2323232323232323,33,0.2727272727272727
29,5,2,0.1,0.25,0.6,0.24,0.34285714285714286,25,0.17391304347826086,0.5,0.25806451612903225,8,0.3869565217391304,0.37,0.30046082949308756,33,0.4967061923583662,0.30303030303030304,0.32230135455941905,33,0.30303030303030304
