,fpr,tpr,threshold,eval,k,train_split,quantile
161,0.03333333333333333,0.0,0.9990652,2,2,0.1,0.1
162,0.13333333333333333,0.0,0.9883133,2,2,0.1,0.1
163,0.13333333333333333,0.3333333333333333,0.98653793,2,2,0.1,0.1
164,0.2,0.3333333333333333,0.94376904,2,2,0.1,0.1
165,0.2,0.6666666666666666,0.9422759,2,2,0.1,0.1
166,0.26666666666666666,0.6666666666666666,0.8884399,2,2,0.1,0.1
167,0.26666666666666666,1.0,0.85663354,2,2,0.1,0.1
168,1.0,1.0,0.0017004844,2,2,0.1,0.1
169,0.0,0.0,1.9990499,3,2,0.1,0.1
170,0.03333333333333333,0.0,0.99904996,3,2,0.1,0.1
171,0.13333333333333333,0.0,0.98969483,3,2,0.1,0.1
172,0.13333333333333333,0.3333333333333333,0.982263,3,2,0.1,0.1
173,0.23333333333333334,0.3333333333333333,0.9430156,3,2,0.1,0.1
174,0.23333333333333334,0.6666666666666666,0.93780035,3,2,0.1,0.1
175,0.3,0.6666666666666666,0.8632255,3,2,0.1,0.1
176,0.3,1.0,0.854932,3,2,0.1,0.1
177,1.0,1.0,0.0019768707,3,2,0.1,0.1
178,0.0,0.0,1.9988551,4,2,0.1,0.1
179,0.03333333333333333,0.0,0.9988551,4,2,0.1,0.1
180,0.13333333333333333,0.0,0.99087334,4,2,0.1,0.1
181,0.13333333333333333,0.3333333333333333,0.9843652,4,2,0.1,0.1
182,0.23333333333333334,0.3333333333333333,0.9502002,4,2,0.1,0.1
183,0.23333333333333334,0.6666666666666666,0.94719124,4,2,0.1,0.1
184,0.4,0.6666666666666666,0.84154725,4,2,0.1,0.1
185,0.4,1.0,0.80801964,4,2,0.1,0.1
186,1.0,1.0,0.0025021096,4,2,0.1,0.1
187,0.0,0.0,1.9988301,5,2,0.1,0.1
188,0.03333333333333333,0.0,0.99883,5,2,0.1,0.1
189,0.13333333333333333,0.0,0.9856882,5,2,0.1,0.1
190,0.13333333333333333,0.3333333333333333,0.978324,5,2,0.1,0.1
191,0.16666666666666666,0.3333333333333333,0.9459417,5,2,0.1,0.1
192,0.16666666666666666,0.6666666666666666,0.93682206,5,2,0.1,0.1
193,0.26666666666666666,0.6666666666666666,0.90138793,5,2,0.1,0.1
194,0.26666666666666666,1.0,0.85441977,5,2,0.1,0.1
195,1.0,1.0,0.0022236058,5,2,0.1,0.1
196,0.0,0.0,1.9996978,1,2,0.1,0.25
197,0.04,0.0,0.9996978,1,2,0.1,0.25
198,0.04,0.125,0.9996178,1,2,0.1,0.25
199,0.08,0.125,0.997389,1,2,0.1,0.25
200,0.08,0.375,0.99021214,1,2,0.1,0.25
201,0.52,0.375,0.7393236,1,2,0.1,0.25
202,0.52,0.5,0.6420722,1,2,0.1,0.25
203,0.8,0.5,0.50977963,1,2,0.1,0.25
204,0.8,0.625,0.4606902,1,2,0.1,0.25
205,0.88,0.625,0.24843208,1,2,0.1,0.25
206,0.88,0.75,0.21322669,1,2,0.1,0.25
207,0.96,0.75,0.06936296,1,2,0.1,0.25
208,0.96,1.0,0.00077704346,1,2,0.1,0.25
209,1.0,1.0,0.00014859783,1,2,0.1,0.25
210,0.0,0.0,1.9999048,2,2,0.1,0.25
211,0.04,0.0,0.99990475,2,2,0.1,0.25
212,0.04,0.125,0.99986684,2,2,0.1,0.25
213,0.08,0.125,0.99963605,2,2,0.1,0.25
214,0.08,0.375,0.99856156,2,2,0.1,0.25
215,0.64,0.375,0.9275818,2,2,0.1,0.25
216,0.64,0.5,0.8953639,2,2,0.1,0.25
217,0.84,0.5,0.8093498,2,2,0.1,0.25
218,0.84,0.625,0.7505923,2,2,0.1,0.25
219,0.88,0.625,0.71987075,2,2,0.1,0.25
220,0.88,0.75,0.68935937,2,2,0.1,0.25
221,0.96,0.75,0.42754135,2,2,0.1,0.25
222,0.96,1.0,0.004320321,2,2,0.1,0.25
223,1.0,1.0,0.00060423085,2,2,0.1,0.25
224,0.0,0.0,1.9998093,3,2,0.1,0.25
225,0.04,0.0,0.9998093,3,2,0.1,0.25
226,0.04,0.125,0.99978966,3,2,0.1,0.25
227,0.08,0.125,0.99919456,3,2,0.1,0.25
228,0.08,0.25,0.9977889,3,2,0.1,0.25
229,0.12,0.25,0.99704915,3,2,0.1,0.25
230,0.12,0.375,0.9966313,3,2,0.1,0.25
231,0.68,0.375,0.85277563,3,2,0.1,0.25
232,0.68,0.5,0.776778,3,2,0.1,0.25
233,0.88,0.5,0.7053741,3,2,0.1,0.25
234,0.88,0.75,0.44157162,3,2,0.1,0.25
235,0.96,0.75,0.20631549,3,2,0.1,0.25
236,0.96,1.0,0.0016830027,3,2,0.1,0.25
237,1.0,1.0,0.00028834736,3,2,0.1,0.25
238,0.0,0.0,1.9995954,4,2,0.1,0.25
239,0.04,0.0,0.99959534,4,2,0.1,0.25
240,0.04,0.125,0.99955887,4,2,0.1,0.25
241,0.08,0.125,0.998454,4,2,0.1,0.25
242,0.08,0.25,0.99637383,4,2,0.1,0.25
243,0.12,0.25,0.9956487,4,2,0.1,0.25
244,0.12,0.375,0.99396884,4,2,0.1,0.25
245,0.68,0.375,0.850682,4,2,0.1,0.25
246,0.68,0.5,0.8312035,4,2,0.1,0.25
247,0.88,0.5,0.65423274,4,2,0.1,0.25
248,0.88,0.75,0.6048147,4,2,0.1,0.25
249,0.96,0.75,0.3455298,4,2,0.1,0.25
250,0.96,1.0,0.005941635,4,2,0.1,0.25
251,1.0,1.0,0.0012078995,4,2,0.1,0.25
252,0.0,0.0,1.9995606,5,2,0.1,0.25
253,0.0,0.125,0.99956065,5,2,0.1,0.25
254,0.12,0.125,0.99407816,5,2,0.1,0.25
255,0.12,0.25,0.99318075,5,2,0.1,0.25
256,0.16,0.25,0.98716575,5,2,0.1,0.25
257,0.16,0.375,0.9842941,5,2,0.1,0.25
258,0.76,0.375,0.52068835,5,2,0.1,0.25
259,0.76,0.5,0.512827,5,2,0.1,0.25
260,0.8,0.5,0.49943495,5,2,0.1,0.25
261,0.8,0.625,0.40863436,5,2,0.1,0.25
262,0.88,0.625,0.31599015,5,2,0.1,0.25
263,0.88,0.75,0.2528251,5,2,0.1,0.25
264,0.96,0.75,0.1004497,5,2,0.1,0.25
265,0.96,1.0,0.0005529404,5,2,0.1,0.25
266,1.0,1.0,0.00013041603,5,2,0.1,0.25
267,0.0,0.0,1.999109,1,3,0.1,0.05
268,0.03125,0.0,0.99910897,1,3,0.1,0.05
269,0.1875,0.0,0.82100695,1,3,0.1,0.05
270,0.1875,1.0,0.70866746,1,3,0.1,0.05
271,1.0,1.0,0.005172116,1,3,0.1,0.05
272,0.0,0.0,1.9997842,2,3,0.1,0.05
273,0.03125,0.0,0.9997842,2,3,0.1,0.05
274,0.21875,0.0,0.78881586,2,3,0.1,0.05
