,k,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
1393,2,0.5,16,0.3333333333333333,0.6666666666666666,0.4444444444444444,3,0.8,0.5,0.6153846153846154,8,0.5666666666666667,0.5833333333333333,0.5299145299145299,11,0.6727272727272727,0.5454545454545454,0.5687645687645687,11,0.5454545454545454
1394,2,0.5,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
1395,2,0.5,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
1396,2,0.5,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.875,0.875,0.875,8,0.7708333333333333,0.7708333333333333,0.7708333333333333,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,0.8181818181818182
1397,2,0.5,16,0.3333333333333333,0.6666666666666666,0.4444444444444444,3,0.8,0.5,0.6153846153846154,8,0.5666666666666667,0.5833333333333333,0.5299145299145299,11,0.6727272727272727,0.5454545454545454,0.5687645687645687,11,0.5454545454545454
1398,2,0.5,16,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1399,2,0.5,16,1.0,0.3333333333333333,0.5,3,0.8,1.0,0.888888888888889,8,0.9,0.6666666666666666,0.6944444444444444,11,0.8545454545454546,0.8181818181818182,0.7828282828282828,11,0.8181818181818182
1400,2,0.5,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
1401,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1402,2,0.5,32,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.875,0.875,0.875,8,0.7708333333333333,0.7708333333333333,0.7708333333333333,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,0.8181818181818182
1403,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1404,2,0.5,32,0.375,1.0,0.5454545454545454,3,1.0,0.375,0.5454545454545454,8,0.6875,0.6875,0.5454545454545454,11,0.8295454545454546,0.5454545454545454,0.5454545454545454,11,0.5454545454545454
1405,2,0.5,32,1.0,0.3333333333333333,0.5,3,0.8,1.0,0.888888888888889,8,0.9,0.6666666666666666,0.6944444444444444,11,0.8545454545454546,0.8181818181818182,0.7828282828282828,11,0.8181818181818182
1406,2,0.5,32,1.0,0.3333333333333333,0.5,3,0.8,1.0,0.888888888888889,8,0.9,0.6666666666666666,0.6944444444444444,11,0.8545454545454546,0.8181818181818182,0.7828282828282828,11,0.8181818181818182
1407,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1408,2,0.5,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
1409,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1410,2,0.5,32,0.5,0.6666666666666666,0.5714285714285715,3,0.8571428571428571,0.75,0.7999999999999999,8,0.6785714285714286,0.7083333333333333,0.6857142857142857,11,0.7597402597402598,0.7272727272727273,0.7376623376623376,11,0.7272727272727273
1411,2,0.5,32,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.875,0.875,0.875,8,0.7708333333333333,0.7708333333333333,0.7708333333333333,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,0.8181818181818182
1412,2,0.5,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
1413,2,0.5,32,0.2857142857142857,0.6666666666666666,0.4,3,0.75,0.375,0.5,8,0.5178571428571428,0.5208333333333333,0.45,11,0.6233766233766234,0.45454545454545453,0.4727272727272727,11,0.45454545454545453
1414,2,0.5,32,0.2857142857142857,0.6666666666666666,0.4,3,0.75,0.375,0.5,8,0.5178571428571428,0.5208333333333333,0.45,11,0.6233766233766234,0.45454545454545453,0.4727272727272727,11,0.45454545454545453
1415,2,0.5,32,0.0,0.0,0.0,3,0.25,0.125,0.16666666666666666,8,0.125,0.0625,0.08333333333333333,11,0.18181818181818182,0.09090909090909091,0.1212121212121212,11,0.09090909090909091
1416,2,0.5,32,0.0,0.0,0.0,3,0.7272727272727273,1.0,0.8421052631578948,8,0.36363636363636365,0.5,0.4210526315789474,11,0.5289256198347108,0.7272727272727273,0.6124401913875599,11,0.7272727272727273
1417,2,0.5,32,0.5,0.3333333333333333,0.4,3,0.7777777777777778,0.875,0.823529411764706,8,0.6388888888888888,0.6041666666666666,0.611764705882353,11,0.702020202020202,0.7272727272727273,0.7080213903743316,11,0.7272727272727273
1418,2,0.5,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
1419,2,0.5,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
1420,2,0.5,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.75,0.75,0.75,8,0.5416666666666666,0.5416666666666666,0.5416666666666666,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,11,0.6363636363636364
