,k,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
10,1,0.1,64,1.0,0.10778443113772455,0.1945945945945946,167,0.006666666666666667,1.0,0.013245033112582783,1,0.5033333333333333,0.5538922155688623,0.1039198138535887,168,0.9940873015873015,0.1130952380952381,0.19351513291910644,168,0.1130952380952381
11,1,0.1,64,1.0,0.09580838323353294,0.17486338797814208,167,0.006578947368421052,1.0,0.013071895424836602,1,0.5032894736842105,0.5479041916167665,0.09396764170148934,168,0.9940867794486214,0.10119047619047619,0.1739003433796105,168,0.10119047619047619
12,1,0.1,64,0.9921875,0.7604790419161677,0.8610169491525425,167,0.0,0.0,0.0,1,0.49609375,0.38023952095808383,0.4305084745762712,168,0.9862816220238095,0.7559523809523809,0.8558918482647296,168,0.7559523809523809
13,1,0.1,64,0.9905660377358491,0.6287425149700598,0.7692307692307693,167,0.0,0.0,0.0,1,0.49528301886792453,0.3143712574850299,0.38461538461538464,168,0.9846698113207547,0.625,0.7646520146520148,168,0.625
14,1,0.1,64,1.0,0.059880239520958084,0.11299435028248588,167,0.006329113924050633,1.0,0.012578616352201257,1,0.5031645569620253,0.5299401197604791,0.06278648331734357,168,0.9940852923447859,0.06547619047619048,0.1123966375805199,168,0.06547619047619048
15,1,0.1,64,0.9868421052631579,0.4491017964071856,0.6172839506172839,167,0.0,0.0,0.0,1,0.4934210526315789,0.2245508982035928,0.30864197530864196,168,0.980968045112782,0.44642857142857145,0.6136096413874191,168,0.44642857142857145
16,1,0.1,64,0.9903846153846154,0.6167664670658682,0.7601476014760147,167,0.0,0.0,0.0,1,0.4951923076923077,0.3083832335329341,0.38007380073800734,168,0.9844894688644689,0.6130952380952381,0.7556229133719908,168,0.6130952380952381
17,1,0.1,64,1.0,0.6706586826347305,0.8028673835125447,167,0.017857142857142856,1.0,0.03508771929824561,1,0.5089285714285714,0.8353293413173652,0.41897755140539517,168,0.9941539115646258,0.6726190476190477,0.7982972664636501,168,0.6726190476190477
18,1,0.1,64,1.0,0.11976047904191617,0.21390374331550802,167,0.006756756756756757,1.0,0.013422818791946308,1,0.5033783783783784,0.5598802395209581,0.11366328105372717,168,0.9940878378378377,0.125,0.21271040447905823,168,0.125
19,1,0.1,64,0.9473684210526315,0.10778443113772455,0.1935483870967742,167,0.0,0.0,0.0,1,0.47368421052631576,0.05389221556886228,0.0967741935483871,168,0.9417293233082705,0.10714285714285714,0.1923963133640553,168,0.10714285714285714
20,1,0.1,64,1.0,0.12574850299401197,0.22340425531914893,167,0.006802721088435374,1.0,0.013513513513513513,1,0.5034013605442177,0.562874251497006,0.11845888441633122,168,0.9940881114350502,0.13095238095238096,0.22215490566554394,168,0.13095238095238096
21,1,0.1,64,1.0,0.5868263473053892,0.7396226415094339,167,0.014285714285714285,1.0,0.028169014084507043,1,0.5071428571428571,0.7934131736526946,0.38389582779697046,168,0.9941326530612244,0.5892857142857143,0.7353877984890475,168,0.5892857142857143
