,tol_inf,tol_sup,embedding_d,train_split,dropout,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
2878,0.2,0.7,64,0.3,0.3,1.0,0.22950819672131148,0.37333333333333335,61,0.16071428571428573,1.0,0.27692307692307694,9,0.5803571428571429,0.6147540983606558,0.32512820512820517,70,0.8920918367346938,0.32857142857142857,0.3609377289377289,70,0.32857142857142857
2879,0.2,0.7,64,0.3,0.3,0.9591836734693877,0.7704918032786885,0.8545454545454545,61,0.3333333333333333,0.7777777777777778,0.4666666666666666,9,0.6462585034013605,0.7741347905282332,0.6606060606060605,70,0.8787172011661807,0.7714285714285715,0.8046753246753247,70,0.7714285714285715
2880,0.2,0.7,64,0.3,0.3,0.9629629629629629,0.8524590163934426,0.9043478260869565,61,0.4375,0.7777777777777778,0.56,9,0.7002314814814814,0.8151183970856102,0.7321739130434783,70,0.8954034391534391,0.8428571428571429,0.8600745341614906,70,0.8428571428571429
2881,0.2,0.7,64,0.3,0.3,0.9615384615384616,0.819672131147541,0.8849557522123893,61,0.3888888888888889,0.7777777777777778,0.5185185185185185,9,0.6752136752136753,0.7987249544626593,0.7017371353654539,70,0.8879120879120879,0.8142857142857143,0.8378423935946059,70,0.8142857142857143
2882,0.2,0.7,64,0.3,0.3,0.9791666666666666,0.7704918032786885,0.8623853211009173,61,0.36363636363636365,0.8888888888888888,0.5161290322580644,9,0.6714015151515151,0.8296903460837887,0.6892571766794908,70,0.9000270562770563,0.7857142857142857,0.8178666553925504,70,0.7857142857142857
2883,0.2,0.7,64,0.3,0.3,0.9607843137254902,0.8032786885245902,0.8750000000000001,61,0.3684210526315789,0.7777777777777778,0.5,9,0.6646026831785345,0.790528233151184,0.6875,70,0.884623323013416,0.8,0.8267857142857143,70,0.8
2884,0.2,0.7,64,0.3,0.3,1.0,0.6065573770491803,0.7551020408163265,61,0.2727272727272727,1.0,0.42857142857142855,9,0.6363636363636364,0.8032786885245902,0.5918367346938775,70,0.9064935064935065,0.6571428571428571,0.7131195335276967,70,0.6571428571428571
2885,0.2,0.7,64,0.3,0.3,0.9803921568627451,0.819672131147541,0.8928571428571428,61,0.42105263157894735,0.8888888888888888,0.5714285714285714,9,0.7007223942208463,0.8542805100182149,0.7321428571428571,70,0.9084770750405425,0.8285714285714286,0.8515306122448978,70,0.8285714285714286
2886,0.2,0.7,64,0.3,0.3,0.9354838709677419,0.9508196721311475,0.943089430894309,61,0.625,0.5555555555555556,0.5882352941176471,9,0.780241935483871,0.7531876138433515,0.765662362505978,70,0.8955645161290322,0.9,0.8974653275944525,70,0.9
2887,0.2,0.7,64,0.3,0.3,0.8888888888888888,0.5245901639344263,0.6597938144329897,61,0.14705882352941177,0.5555555555555556,0.23255813953488372,9,0.5179738562091503,0.5400728597449909,0.4461759769839367,70,0.7935107376283846,0.5285714285714286,0.6048635133746618,70,0.5285714285714286
