,embedding_d,channels,train_split,mse,mae,r2
143,32,32,0.3,0.48264,0.6323835,-0.20144029861431578
144,32,32,0.3,0.7883851,0.6765549,-0.7553520482900269
145,32,32,0.3,0.48018834,0.555195,0.004630105767948645
146,32,32,0.3,0.7413016,0.6695646,-0.7701122375933238
147,32,32,0.3,0.41072604,0.53384244,-0.06212164466018488
148,32,32,0.3,0.4460681,0.48929706,-0.20031557883288875
149,32,32,0.3,0.51364636,0.5778405,-0.29947130093862784
150,32,32,0.4,0.53051966,0.5906602,-0.08478504082976324
151,32,32,0.4,0.49116856,0.6124218,-0.455600122916447
152,32,32,0.4,0.53527886,0.61325395,-0.6078468733872859
153,32,32,0.4,0.44843256,0.57587785,-0.2058699283366756
154,32,32,0.4,0.4206854,0.56008327,-0.1308076097980475
155,32,32,0.4,0.48450902,0.5285315,-0.20088892192644203
156,32,32,0.4,0.52588075,0.58109176,-0.7227293105954813
157,32,32,0.4,0.381922,0.44878346,-0.14648506461547983
158,32,32,0.4,0.4437893,0.5321242,0.005585691914179791
159,32,32,0.4,0.5222146,0.62553775,-0.45664329714293084
160,32,32,0.4,0.382733,0.5124587,-0.030894216522230344
161,32,32,0.4,0.41016456,0.50917655,0.014611495403796693
162,32,32,0.4,0.4187504,0.49367794,-0.12989950805445383
163,32,32,0.4,0.56781834,0.6382546,-0.953080651401421
164,32,32,0.4,0.58961785,0.58118564,-0.659443726747706
165,32,32,0.4,0.39570627,0.57024956,-0.1379035172755747
166,32,32,0.4,0.46250865,0.56567734,-0.01537863865168343
167,32,32,0.4,0.58928585,0.6397004,-0.4661409446819442
168,32,32,0.4,0.3763079,0.45839667,-0.11890898426995511
169,32,32,0.4,0.506138,0.57004255,-0.01803469836169791
170,32,32,0.4,0.42547306,0.5558169,-1.1055404311714376
171,32,32,0.4,0.3148005,0.45943955,0.08411535978997486
172,32,32,0.4,0.49033427,0.5463837,-0.09818130109010936
173,32,32,0.4,0.32815176,0.45725885,0.12636966241067438
174,32,32,0.4,0.55413926,0.55939335,-0.28268889368649086
175,32,32,0.4,0.62618923,0.67094046,-0.4396045391681096
176,32,32,0.4,0.4220879,0.51169336,0.06442477216896492
177,32,32,0.4,0.6700366,0.67800194,-0.743929368767777
178,32,32,0.4,0.47472388,0.53874815,-0.15124964419620746
179,32,32,0.4,0.5644927,0.5774456,-0.14080704800953492
180,32,32,0.4,0.3622688,0.5381991,0.03809170913542903
181,32,32,0.4,0.5899584,0.56877,-0.25444904565146786
182,32,32,0.4,0.64481914,0.6361212,-0.2594994269703781
183,32,32,0.4,0.4802999,0.54517,-0.1471706733278968
184,32,32,0.4,0.4847948,0.5583006,-0.35343394778869563
185,32,32,0.4,0.35174614,0.47337633,0.0446254903771397
186,32,32,0.4,0.42913488,0.5527551,0.025502964807694872
187,32,32,0.4,0.2952086,0.41040605,0.18346611792311074
188,32,32,0.4,0.7052506,0.6879832,-0.5682028471690803
189,32,32,0.4,0.4037702,0.5395216,-0.012377285536794957
190,32,32,0.4,0.42465687,0.49952015,-0.04415998812801636
191,32,32,0.4,0.52514213,0.605277,-0.13257802854092193
192,32,32,0.4,0.89728236,0.78947765,-1.6791568222104787
193,32,32,0.4,0.7376582,0.6681898,-0.5713190258310845
194,32,32,0.4,0.31973416,0.43992335,-0.059101804859781115
195,32,32,0.4,0.4056119,0.5104133,-0.07896570806013892
196,32,32,0.4,0.38955897,0.45666376,-0.2673296803329017
197,32,32,0.4,0.7380614,0.6432153,-0.8372830868865657
198,32,32,0.4,0.5230548,0.53858334,-0.2179676245871618
199,32,32,0.4,0.39983135,0.4901019,-0.1851509911523137
