,tol_inf,tol_sup,embedding_d,train_split,dropout,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,non-critical_precision,non-critical_recall,non-critical_f1-score,non-critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
415,0.1,0.5,64,0.2,0.3,1.0,0.0625,0.11764705882352941,48,1.0,0.13043478260869565,0.23076923076923078,23,0.057971014492753624,1.0,0.1095890410958904,4,0.6859903381642511,0.3976449275362319,0.15266844356288353,75,0.9497584541062802,0.13333333333333333,0.1519080972747371,75,0.13333333333333333
416,0.1,0.5,64,0.2,0.3,0.676923076923077,0.9166666666666666,0.7787610619469026,48,1.0,0.13043478260869565,0.23076923076923078,23,0.14285714285714285,0.25,0.18181818181818182,4,0.6065934065934065,0.4323671497584541,0.3971161581781051,75,0.7475164835164835,0.64,0.5788732801122182,75,0.64
417,0.1,0.5,64,0.2,0.3,0.7941176470588235,0.5625,0.6585365853658537,48,0.4166666666666667,0.6521739130434783,0.5084745762711865,23,0.0,0.0,0.0,4,0.40359477124183,0.4048913043478261,0.38900372054568005,75,0.6360130718954249,0.56,0.5773956180239769,75,0.56
418,0.1,0.5,64,0.2,0.3,0.5454545454545454,0.25,0.34285714285714286,48,0.5714285714285714,0.17391304347826086,0.26666666666666666,23,0.043478260869565216,0.5,0.08,4,0.38678712591756065,0.3079710144927536,0.22984126984126985,75,0.5266478449087144,0.24,0.30547301587301584,75,0.24
419,0.1,0.5,64,0.2,0.3,0.75,0.0625,0.11538461538461539,48,0.4,0.8695652173913043,0.547945205479452,23,0.09523809523809523,0.5,0.16,4,0.4150793650793651,0.47735507246376807,0.27444327362135584,75,0.6077460317460318,0.3333333333333333,0.2504160168598525,75,0.3333333333333333
420,0.1,0.5,64,0.2,0.3,0.5882352941176471,0.20833333333333334,0.3076923076923077,48,0.24528301886792453,0.5652173913043478,0.3421052631578947,23,0.0,0.0,0.0,4,0.2778394376618572,0.2578502415458937,0.2165991902834008,75,0.4516907140214576,0.30666666666666664,0.3018353576248313,75,0.30666666666666664
421,0.1,0.5,64,0.2,0.3,0.8333333333333334,0.10416666666666667,0.1851851851851852,48,0.2923076923076923,0.8260869565217391,0.4318181818181819,23,0.0,0.0,0.0,4,0.3752136752136752,0.3100845410628019,0.20566778900112237,75,0.6229743589743589,0.32,0.25094276094276097,75,0.32
422,0.1,0.5,64,0.2,0.3,0.6792452830188679,0.75,0.712871287128713,48,1.0,0.13043478260869565,0.23076923076923078,23,0.05263157894736842,0.25,0.08695652173913043,4,0.5772922873220787,0.3768115942028986,0.34353234654569137,75,0.7441906653426018,0.5333333333333333,0.5316445356910273,75,0.5333333333333333
423,0.1,0.5,64,0.2,0.3,0.7818181818181819,0.8958333333333334,0.8349514563106797,48,0.6666666666666666,0.43478260869565216,0.5263157894736841,23,0.0,0.0,0.0,4,0.48282828282828283,0.4435386473429952,0.4537557485947879,75,0.7048080808080808,0.7066666666666667,0.6957724408107647,75,0.7066666666666667
424,0.1,0.5,64,0.2,0.3,0.7272727272727273,0.16666666666666666,0.2711864406779661,48,0.2833333333333333,0.7391304347826086,0.4096385542168674,23,0.0,0.0,0.0,4,0.33686868686868693,0.3019323671497584,0.2269416649649445,75,0.5523434343434342,0.3333333333333333,0.29918181199373767,75,0.3333333333333333
425,0.1,0.5,64,0.2,0.3,0.875,0.14583333333333334,0.25000000000000006,48,0.75,0.13043478260869565,0.22222222222222218,23,0.047619047619047616,0.75,0.08955223880597014,4,0.5575396825396826,0.34208937198067635,0.18725815367606413,75,0.7925396825396825,0.17333333333333334,0.23292426755113327,75,0.17333333333333334
426,0.1,0.5,64,0.2,0.3,0.8181818181818182,0.1875,0.30508474576271183,48,0.4782608695652174,0.4782608695652174,0.4782608695652174,23,0.07317073170731707,0.75,0.13333333333333333,4,0.45653780648478426,0.47192028985507245,0.3055596495537542,75,0.6742054693274205,0.30666666666666664,0.34903201506591336,75,0.30666666666666664
427,0.1,0.5,64,0.2,0.3,0.8076923076923077,0.4375,0.5675675675675675,48,0.8333333333333334,0.43478260869565216,0.5714285714285714,23,0.05405405405405406,0.5,0.0975609756097561,4,0.565026565026565,0.45742753623188404,0.4121857048686317,75,0.7753615153615155,0.44,0.5436845905138588,75,0.44
428,0.1,0.5,64,0.2,0.3,0.7884615384615384,0.8541666666666666,0.8200000000000001,48,0.5625,0.391304347826087,0.46153846153846156,23,0.0,0.0,0.0,4,0.4503205128205128,0.4151570048309179,0.42717948717948717,75,0.6771153846153847,0.6666666666666666,0.6663384615384615,75,0.6666666666666666
429,0.1,0.5,64,0.2,0.3,0.8181818181818182,0.1875,0.30508474576271183,48,0.38181818181818183,0.9130434782608695,0.5384615384615384,23,0.0,0.0,0.0,4,0.4000000000000001,0.36684782608695654,0.28118209474141675,75,0.6407272727272727,0.4,0.3603824424163407,75,0.4
430,0.1,0.5,64,0.2,0.3,0.7384615384615385,1.0,0.8495575221238938,48,1.0,0.21739130434782608,0.3571428571428571,23,0.0,0.0,0.0,4,0.5794871794871795,0.4057971014492754,0.40223345975558367,75,0.7792820512820513,0.7066666666666667,0.6532406236831015,75,0.7066666666666667
431,0.1,0.5,64,0.2,0.3,0.6923076923076923,0.1875,0.29508196721311475,48,0.27586206896551724,0.6956521739130435,0.3950617283950617,23,0.0,0.0,0.0,4,0.32272325375773653,0.29438405797101447,0.2300478985360588,75,0.5276746242263483,0.3333333333333333,0.310004722390879,75,0.3333333333333333
