,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
17,-0.38801846,0.30092353,-0.09627201,0.7192378,-0.18141001,-0.13520369,-0.36261922,1.5708714,1.1087465,0.7258643,0.5122255,-0.11329685,0.71889657,0.33979177,-0.13370118,0.49878132,1
18,-0.7729531,-0.39547798,0.3326835,0.47493613,-0.7810608,-0.0011312366,-0.52660656,-0.09033957,1.0663612,0.65947264,0.40726015,0.12496377,-0.009371839,0.32093462,0.01413843,-0.13555227,0
19,-0.42282438,0.10830754,-0.087620676,0.19446766,0.16165438,0.013971508,-0.3906862,0.40878585,-0.13704361,0.6001118,-1.485534,0.9294799,-1.0327463,-0.16529271,-0.022108585,-0.8765052,0
20,0.6664456,-1.090758,0.19487542,0.9692836,-0.15373993,0.22381839,-1.217214,0.4910076,-0.35231823,-0.09596789,0.21701908,1.1656904,-1.6175381,-0.10892396,-0.066112936,-0.08337635,1
21,0.1923328,-0.66290027,-0.5339105,0.40300614,0.08685967,-0.06878242,-0.12199944,0.07206499,0.34025466,-0.7776777,-0.6722191,1.0193394,-0.4750323,0.04675144,-0.9079287,-0.5069727,0
22,-0.44794482,-0.6767868,-0.57811695,1.1328174,-0.15774733,-0.057184696,-0.25788066,0.22005042,0.6966797,0.6761394,0.05792588,0.9913379,-0.5254007,0.087975435,-0.13656288,-0.84193754,0
23,-0.38801846,0.30092353,-0.09627201,0.7192378,-0.18141001,-0.13520369,-0.36261922,1.5708714,1.1087465,0.7258643,0.5122255,-0.11329685,0.71889657,0.33979177,-0.13370118,0.49878132,1
24,0.65578616,0.29085603,0.22338519,0.40905997,1.3571459,0.43808743,-1.5821571,0.9697856,0.5700495,0.24254355,-0.16771144,-1.0625885,1.63325,0.77664685,-0.23457484,-0.1858418,1
25,0.91226596,0.23482329,0.094000146,0.4255371,1.1432893,1.2670356,-1.2358288,-0.18763912,0.71310645,-0.27007028,0.04758188,-1.2406597,0.4304434,0.58476967,0.8084521,-1.0898988,1
26,0.65578616,0.29085603,0.22338519,0.40905997,1.3571459,0.43808743,-1.5821571,0.9697856,0.5700495,0.24254355,-0.16771144,-1.0625885,1.63325,0.77664685,-0.23457484,-0.1858418,1
27,-0.6364536,-1.4397839,0.7824502,-0.31168258,-0.034009337,1.4197036,0.4890668,0.045387536,0.7868431,0.3167517,-0.68150353,-0.43327996,-0.1743866,0.12717068,-0.26043087,0.23141956,0
28,-0.13267545,-0.38159144,0.37688994,-0.25487512,-0.53645384,-0.012728959,-0.39072537,-0.238325,0.7099361,-0.7943445,-0.3228848,0.15296528,0.04099658,0.27971062,-0.75722736,0.19941261,0
29,-0.7729531,-0.39547798,0.3326835,0.47493613,-0.7810608,-0.0011312366,-0.52660656,-0.09033957,1.0663612,0.65947264,0.40726015,0.12496377,-0.009371839,0.32093462,0.01413843,-0.13555227,0
30,0.7034964,-0.1562194,0.3462057,0.023755044,-0.25436345,-0.03918137,0.220796,0.09468621,-0.4941958,0.7228849,0.3026549,0.64717805,-1.0462072,0.05252856,0.52970743,-0.42434153,0
31,0.21982107,-0.1498943,0.48395026,-0.41424477,0.07423274,-0.1576524,0.2925361,0.18582857,-0.16363117,0.46157223,0.570731,0.7496129,0.12120721,-0.13460156,0.49799258,-0.18531784,0
32,0.3580773,-0.13648024,0.36728126,-0.46223164,0.07258032,-0.531046,0.059619233,0.8995602,-0.7002676,0.104128726,0.5036997,0.016575575,-0.18803436,0.16570854,0.10911518,-0.3278981,1
33,-0.21547912,-0.8362949,0.67499465,-0.5213477,-0.45772147,0.38133827,0.46127075,0.5812739,-0.13011172,-0.13912247,0.25852355,0.34714514,-0.26947868,0.15950957,0.8420763,-0.681151,0
34,-0.06615628,-0.06240254,0.35093412,-0.032443095,0.9265715,0.21053393,-0.4346679,0.0104109645,0.19080159,0.18376607,0.1688124,-0.77634114,-0.044711497,-0.008525461,-0.17413802,0.19428074,0
35,-0.007910227,-0.2681088,-0.35583922,-0.01496878,1.0334874,-0.1349984,0.44302732,-0.35920227,0.15504444,0.050553188,0.5099766,-0.7286359,-0.10750486,0.45579433,-0.10678747,-0.21504012,0
36,0.1401795,0.1661922,0.17406519,-0.25303522,0.39622453,-0.59635425,-0.10685317,0.54814464,-0.05626008,-0.027888283,0.21288806,-1.0400424,-0.013473903,0.7216393,-0.16446611,-0.021344341,0
37,-0.143146,-0.15394631,-1.2941496,0.79236203,0.6127293,-0.08755553,0.7494358,0.41537043,-0.14292806,0.25777116,0.30003172,-0.43479785,0.04461261,-0.51172274,0.17990394,-0.1252983,0
38,0.004943736,0.28035468,-0.7642453,0.55429554,-0.024533547,-0.5489114,0.19955525,1.3227173,-0.35423258,0.1793297,0.0029431435,-0.7462044,0.13864356,-0.2458778,0.1222253,0.06839748,0
