,k,train_split,embedding_d,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
90,1,0.7,128,0.9961089494163424,0.8152866242038217,0.8966725043782837,314,0.0,0.0,0.0,1,0.4980544747081712,0.40764331210191085,0.44833625218914186,315,0.9929466987832748,0.8126984126984127,0.893825924999305,315,0.8126984126984127
91,1,0.7,128,0.9962825278810409,0.8535031847133758,0.9193825042881647,314,0.0,0.0,0.0,1,0.49814126394052044,0.4267515923566879,0.45969125214408235,315,0.993119726205228,0.8507936507936508,0.9164638296713769,315,0.8507936507936508
92,1,0.7,128,1.0,0.410828025477707,0.582392776523702,314,0.005376344086021506,1.0,0.010695187165775402,1,0.5026881720430108,0.7054140127388535,0.29654398184473874,315,0.9968424645844001,0.4126984126984127,0.5805778635416133,315,0.4126984126984127
93,1,0.7,128,1.0,0.2770700636942675,0.43391521197007477,314,0.0043859649122807015,1.0,0.008733624454148471,1,0.5021929824561403,0.6385350318471338,0.22132441821211163,315,0.9968393205235311,0.27936507936507937,0.4325654291525639,315,0.27936507936507937
94,1,0.7,128,0.9948186528497409,0.6114649681528662,0.757396449704142,314,0.0,0.0,0.0,1,0.49740932642487046,0.3057324840764331,0.378698224852071,315,0.9916604983962496,0.6095238095238096,0.7549920165304781,315,0.6095238095238096
95,1,0.7,128,1.0,0.20382165605095542,0.33862433862433866,314,0.00398406374501992,1.0,0.007936507936507936,1,0.50199203187251,0.6019108280254777,0.1732804232804233,315,0.9968380446468096,0.20634920634920634,0.33757453598723447,315,0.20634920634920634
96,1,0.7,128,0.987012987012987,0.24203821656050956,0.38874680306905374,314,0.0,0.0,0.0,1,0.4935064935064935,0.12101910828025478,0.19437340153452687,315,0.9838796124510409,0.24126984126984127,0.3875126862339139,315,0.24126984126984127
97,1,0.7,128,0.9966887417218543,0.9585987261146497,0.9772727272727272,314,0.0,0.0,0.0,1,0.49834437086092714,0.47929936305732485,0.4886363636363636,315,0.9935246504782929,0.9555555555555556,0.974170274170274,315,0.9555555555555556
98,1,0.7,128,0.995475113122172,0.7006369426751592,0.8224299065420562,314,0.0,0.0,0.0,1,0.497737556561086,0.3503184713375796,0.4112149532710281,315,0.9923148746678159,0.6984126984126984,0.8198190179498592,315,0.6984126984126984
99,1,0.7,128,0.9965397923875432,0.9171974522292994,0.9552238805970149,314,0.0,0.0,0.0,1,0.4982698961937716,0.4585987261146497,0.47761194029850745,315,0.9933761739990113,0.9142857142857143,0.9521914238332149,315,0.9142857142857143
100,2,0.1,128,0.9807692307692307,0.1619047619047619,0.2779291553133515,315,0.0037735849056603774,0.5,0.00749063670411985,2,0.49227140783744555,0.33095238095238094,0.14270989600873568,317,0.9746052203852336,0.1640378548895899,0.27622291860288317,317,0.1640378548895899
101,2,0.1,128,1.0,0.17777777777777778,0.3018867924528302,315,0.007662835249042145,1.0,0.01520912547528517,2,0.5038314176245211,0.5888888888888889,0.15854795896405768,317,0.9937391976987322,0.1829652996845426,0.3000781005476091,317,0.1829652996845426
102,2,0.1,128,1.0,0.37777777777777777,0.5483870967741935,315,0.010101010101010102,1.0,0.02,2,0.5050505050505051,0.6888888888888889,0.28419354838709676,317,0.9937545805053691,0.38170347003154576,0.5450534242393406,317,0.38170347003154576
103,2,0.1,128,1.0,0.047619047619047616,0.0909090909090909,315,0.006622516556291391,1.0,0.013157894736842105,2,0.5033112582781457,0.5238095238095238,0.0520334928229665,317,0.9937326341738567,0.05362776025236593,0.09041854708466031,317,0.05362776025236593
104,2,0.1,128,1.0,0.2253968253968254,0.36787564766839376,315,0.008130081300813009,1.0,0.01612903225806452,2,0.5040650406504065,0.6126984126984127,0.19200233996322913,317,0.993742145623349,0.2302839116719243,0.3656564261200636,317,0.2302839116719243
105,2,0.1,128,1.0,0.050793650793650794,0.09667673716012085,315,0.006644518272425249,1.0,0.013201320132013201,2,0.5033222591362126,0.5253968253968254,0.05493902864606702,317,0.9937327729859459,0.056782334384858045,0.09615007837760912,317,0.056782334384858045
106,2,0.1,128,1.0,0.30158730158730157,0.46341463414634143,315,0.009009009009009009,1.0,0.01785714285714286,2,0.5045045045045045,0.6507936507936508,0.24063588850174214,317,0.9937476909085743,0.305993690851735,0.46060354587322344,317,0.305993690851735
107,2,0.1,128,1.0,0.13015873015873017,0.2303370786516854,315,0.007246376811594203,1.0,0.014388489208633093,2,0.5036231884057971,0.5650793650793651,0.12236278393015924,317,0.993736570200704,0.13564668769716087,0.22897462698327498,317,0.13564668769716087
108,2,0.1,128,1.0,0.12063492063492064,0.21529745042492918,315,0.007168458781362007,1.0,0.014234875444839857,2,0.503584229390681,0.5603174603174603,0.11476616293488452,317,0.9937360786042988,0.12618296529968454,0.21402891682884032,317,0.12618296529968454
109,2,0.1,128,0.9947089947089947,0.5968253968253968,0.746031746031746,315,0.0078125,0.5,0.015384615384615385,2,0.5012607473544973,0.5484126984126985,0.3807081807081807,317,0.9884825184016823,0.5962145110410094,0.741421984955108,317,0.5962145110410094
110,2,0.1,128,0.0,0.0,0.0,315,0.006309148264984227,1.0,0.012539184952978056,2,0.0031545741324921135,0.5,0.006269592476489028,317,3.980535182955348e-05,0.006309148264984227,7.911157699039782e-05,317,0.006309148264984227
111,2,0.1,128,1.0,0.35555555555555557,0.5245901639344263,315,0.00975609756097561,1.0,0.01932367149758454,2,0.5048780487804878,0.6777777777777778,0.2719569177160054,317,0.9937524044010155,0.35962145110410093,0.5214023627203137,317,0.35962145110410093
112,2,0.1,128,1.0,0.10793650793650794,0.19484240687679083,315,0.007067137809187279,1.0,0.014035087719298244,2,0.5035335689045937,0.553968253968254,0.10443874729804453,317,0.9937354393552629,0.11356466876971609,0.19370166669283187,317,0.11356466876971609
113,2,0.1,128,1.0,0.025396825396825397,0.04953560371517028,315,0.006472491909385114,1.0,0.012861736334405146,2,0.5032362459546925,0.5126984126984127,0.031198670024787715,317,0.9937316876461161,0.031545741324921134,0.04930422284841467,317,0.031545741324921134
114,2,0.1,128,1.0,0.03492063492063492,0.06748466257668712,315,0.006535947712418301,1.0,0.012987012987012988,2,0.5032679738562091,0.5174603174603175,0.04023583778185005,317,0.9937320879981856,0.04100946372239748,0.0671408288253327,317,0.04100946372239748
115,2,0.1,128,1.0,0.06031746031746032,0.11377245508982035,315,0.006711409395973154,1.0,0.013333333333333332,2,0.5033557046979866,0.5301587301587302,0.06355289421157684,317,0.9937331950119619,0.06624605678233439,0.11313876977905386,317,0.06624605678233439
116,2,0.1,128,0.9921259842519685,0.4,0.5701357466063349,315,0.005263157894736842,0.5,0.010416666666666666,2,0.4986945710733527,0.45,0.2902762066365008,317,0.9858997203632793,0.40063091482649843,0.566604395944255,317,0.40063091482649843
117,2,0.1,128,0.9915611814345991,0.746031746031746,0.8514492753623187,315,0.0,0.0,0.0,2,0.4957805907172996,0.373015873015873,0.42572463768115937,317,0.9853052749271254,0.7413249211356467,0.8460773556439444,317,0.7413249211356467
118,2,0.1,128,0.9933333333333333,0.473015873015873,0.6408602150537634,315,0.005988023952095809,0.5,0.011834319526627219,2,0.4996606786427146,0.4865079365079365,0.3263472672901953,317,0.9871040253877102,0.47318611987381703,0.6368915974163682,317,0.47318611987381703
119,2,0.1,128,1.0,0.28253968253968254,0.44059405940594065,315,0.008771929824561403,1.0,0.017391304347826087,2,0.5043859649122807,0.6412698412698412,0.22899268187688337,317,0.9937461951408488,0.2870662460567823,0.4379240104781292,317,0.2870662460567823
120,2,0.1,128,0.9772727272727273,0.273015873015873,0.4267990074441687,315,0.0,0.0,0.0,2,0.48863636363636365,0.1365079365079365,0.21339950372208435,317,0.9711069687410382,0.27129337539432175,0.4241062692268553,317,0.27129337539432175
121,2,0.1,128,1.0,0.07301587301587302,0.13609467455621302,315,0.006802721088435374,1.0,0.013513513513513513,2,0.5034013605442177,0.5365079365079365,0.07480409403486327,317,0.9937337711109681,0.07886435331230283,0.13532129183670072,317,0.07886435331230283
122,2,0.1,128,1.0,0.08253968253968254,0.15249266862170088,315,0.006872852233676976,1.0,0.013651877133105802,2,0.5034364261168385,0.5412698412698412,0.08307227287740335,317,0.9937342135787613,0.08832807570977919,0.1516167014829716,317,0.08832807570977919
123,2,0.1,128,0.993421052631579,0.4793650793650794,0.6466809421841542,315,0.006060606060606061,0.5,0.011976047904191616,2,0.49974082934609254,0.4896825396825397,0.3293284950441729,317,0.9871916491831817,0.4794952681388013,0.6426764949016308,317,0.4794952681388013
124,2,0.1,128,1.0,0.45396825396825397,0.6244541484716157,315,0.011494252873563218,1.0,0.022727272727272724,2,0.5057471264367817,0.726984126984127,0.3235907105994442,317,0.9937633706805904,0.45741324921135645,0.6206577643975189,317,0.45741324921135645
125,2,0.1,128,1.0,0.025396825396825397,0.04953560371517028,315,0.006472491909385114,1.0,0.012861736334405146,2,0.5032362459546925,0.5126984126984127,0.031198670024787715,317,0.9937316876461161,0.031545741324921134,0.04930422284841467,317,0.031545741324921134
126,2,0.1,128,1.0,0.050793650793650794,0.09667673716012085,315,0.006644518272425249,1.0,0.013201320132013201,2,0.5033222591362126,0.5253968253968254,0.05493902864606702,317,0.9937327729859459,0.056782334384858045,0.09615007837760912,317,0.056782334384858045
127,2,0.1,128,1.0,0.17142857142857143,0.2926829268292683,315,0.0076045627376425855,1.0,0.015094339622641508,2,0.5038022813688213,0.5857142857142857,0.1538886332259549,317,0.9937388300488179,0.17665615141955837,0.2909315792759142,317,0.17665615141955837
128,2,0.1,128,1.0,0.12380952380952381,0.22033898305084745,315,0.007194244604316547,1.0,0.014285714285714287,2,0.5035971223021583,0.5619047619047619,0.11731234866828087,317,0.9937362412908789,0.12933753943217666,0.21903896242772355,317,0.12933753943217666
129,2,0.1,128,1.0,0.12698412698412698,0.22535211267605632,315,0.007220216606498195,1.0,0.014336917562724013,2,0.5036101083032491,0.5634920634920635,0.11984451511939016,317,0.9937364051520915,0.13249211356466878,0.22402078652392174,317,0.13249211356466878
130,2,0.1,128,1.0,0.46984126984126984,0.6393088552915767,315,0.011834319526627219,1.0,0.023391812865497075,2,0.5059171597633136,0.734920634920635,0.33135033407853687,317,0.9937655162115244,0.47318611987381703,0.6354229433519799,317,0.47318611987381703
131,2,0.1,128,0.9936708860759493,0.4984126984126984,0.66384778012685,315,0.006289308176100629,0.5,0.012422360248447206,2,0.499980097126025,0.4992063492063492,0.3381350701876486,317,0.9874413493068651,0.49842271293375395,0.6597378405692575,317,0.49842271293375395
132,2,0.1,128,0.9950248756218906,0.6349206349206349,0.7751937984496124,315,0.008620689655172414,0.5,0.01694915254237288,2,0.5018227826385315,0.5674603174603174,0.39607147549599264,317,0.9888015053634256,0.6340694006309149,0.7704099205574532,317,0.6340694006309149
133,2,0.1,128,1.0,0.012698412698412698,0.025078369905956115,315,0.006389776357827476,1.0,0.012698412698412697,2,0.5031948881789138,0.5063492063492063,0.018888391302184407,317,0.9937311657814374,0.01892744479495268,0.025000262920419562,317,0.01892744479495268
